1,"190,0",61,"6,3","3,5",29,90,150,16,"0,34","0,08","0,50","2,48","0,02","0,032-0,038"
2,"170,0",62,"5,9","3,6",30,95,169,15,"0,22-0,70","0,08-0,42","0,50","0,010-0,013","0,019-0,034","0,032-0,038"
3,"117,0",59,"6,7","3,5",27,97,167,9,"0,34","0,34","0,80","1,98",22,"0,032-0,038"
5,"25,0",63,"6,3","3,6",28,94,150,15,"0,22-0,70","0,08-0,42","0,46","0,010-0,013","0,019-0,034","0,032-0,038"
6,"100,0",63,"6,6","3,7",26,137,116,18,"0,22-0,70","0,08-0,42","0,65","0,010-0,013","0,019-0,034","0,032-0,038"
7а,"107,0",58,"6,7","3,7",30,147,112,33,"0,22-0,70","0,08-0,42","0,75","0,010-0,013","0,019-0,034","0,032-0,038"
7б,"27,0",42,"7,4","4,7",25,80,118,20,"0,22-0,70","0,08-0,42",0.5,"0,010-0,013","0,019-0,034","0,032-0,038"
8,"113,0",59,"7,0","4,0",28,77,116,16,"0,22-0,70","0,08-0,42","0,65","0,97-2,48","0,019-0,034","0,032-0,038"
9,"96,0",63,"6,9","3,9",25,144,111,17,"0,22-0,70","0,08-0,42","0,50","0,010-0,013","0,019-0,034","0,032-0,038"
9,"44,0",65,"6,8","4,0",27,147,115,14,"0,22-0,70","0,08-0,42","0,55","0,010-0,013","0,019-0,034","0,032-0,038"
10,"142,0",66,"6,4","4,8",29,140,166,32,"0,22-0,70","0,08-0,42","0,54","0,010-0,013","0,019-0,034","0,032-0,038"
11,"45,0",56,"7,3","3,9",29,49,108,14,"0,22-0,70","0,08-0,42","0,56","0,97-2,48","0,019-0,034","0,032-0,038"
12,"87,0",56,"7,2","3,7",28,48,119,9,"0,22-0,70","0,08-0,42","0,71","0,010-0,013","0,019-0,034","0,032-0,038"
13,"34,0",58,"7,4","3,8",28,75,117,11,"0,22-0,70","0,08-0,42","1,20","0,010-0,013","0,019-0,034","0,032-0,038"
14,"109,0",57,"7,3","3,5",29,79,116,9,"0,22-0,70","0,08-0,42","0,58","0,010-0,013","0,019-0,034","0,032-0,038"
15,"38,0",53,"7,4","3,4",28,76,115,18,"0,22-0,70","0,08-0,42","0,68","0,97-2,48","0,019-0,034","0,032-0,038"
16,"48,0",55,"7,4","3,6",26,73,119,19,"0,22-0,70","0,08-0,42","0,60","0,97-2,48","0,019-0,034","0,032-0,038"
17,"10,0",44,"7,0","3,0",30,77,110,13,"0,70","0,08","0,52",13,"0,03",38
18а,"18,0",44,"7,0","3,0",30,77,110,13,"0,70","0,08","0,52",13,"0,03",38
18б,"10,0",60,"7,8","3,9",26,89,160,13,"0,22-0,70","0,08-0,42","0,85","0,010-0,013","0,019-0,034","0,032-0,038"
19,"79,0",54,"7,0","3,3",24,75,116,18,"0,70","0,08","1,47",13,"0,03",38
19,"61,0",56,"6,9","3,5",27,82,118,12,"0,70","0,08","0,42",13,"0,03",38
20,"110,0",65,"7,4","4,0",29,88,153,17,"0,22-0,70","0,08-0,42","0,71","0,010-0,013","0,019-0,034","0,032-0,038"
21,"64,0",51,"7,5","3,8",29,89,110,19,"0,22-0,70","0,08-0,42","0,55","0,010-0,013","0,019-0,034","0,032-0,038"
22,"100,0",57,"7,4","3,8",27,91,105,14,"0,22-0,70","0,08-0,42","0,75","0,010-0,013","0,019-0,034","0,032-0,038"
23а,"122,0",58,"6,9",3.9,23,143,114,11,"0,22","0,25","0,58","0,010-0,013",34,32
23б,"47,0",58,"6,9",3.9,23,143,114,11,"0,22","0,25","0,58","0,010-0,013",34,32
24,"65,0",61,"7,3","4,0",29,89,119,8,"0,22-0,70","0,08-0,42","0,46","0,010-0,013","0,019-0,034","0,032-0,038"
25,"115,0",56,"7,2","3,8",29,48,115,10,"0,22-0,70","0,08-0,42","0,57","0,97-2,48","0,019-0,034","0,032-0,038"
26,"60,0",57,"7,3","4,0",29,76,111,12,"0,22-0,70","0,08-0,42","0,76","0,010-0,013","0,019-0,034","0,032-0,038"
27а,"20,0",53,"7,2","3,7",26,74,105,10,"0,22-0,70","0,08-0,42","0,64","0,010-0,013","0,019-0,034","0,032-0,038"
27б,"14,0",53,"7,2","3,7",26,74,105,10,"0,22-0,70","0,08-0,42","0,64","0,010-0,013","0,019-0,034","0,032-0,038"
28,"65,0",63,"7,0","3,8",29,81,178,41,"0,22-0,70","0,08-0,42","0,68","0,97-2,48","0,019-0,034","0,032-0,038"
29,"94,0",61,"7,3","4,0",29,92,109,19,"0,22-0,70","0,08-0,42","1,21","0,97-2,48","0,019-0,034","0,032-0,038"
